"Year","White, 1975-2010","White, 1975-2010, Modeled (from Joinpoint)","Black, 1975-2010","Black, 1975-2010, Modeled (from Joinpoint)","Asian/Pacific Islander, 1992-2010","Asian/Pacific Islander, 1992-2010, Modeled (from Joinpoint)","American Indian/Alaska Native(c), 1992-2010","American Indian/Alaska Native(c), 1992-2010, Modeled (from Joinpoint)","Hispanic(d), 1992-2010","Hispanic(d), 1992-2010, Modeled (from Joinpoint)",
"1975","       8.7","       8.6","       1.2","       1.1"," "," "," "," "," "," ",
"1976","       9.0","       9.1","       1.7","       1.1"," "," "," "," "," "," ",
"1977","       9.9","       9.7","       0.8","       1.1"," "," "," "," "," "," ",
"1978","      10.1","      10.3","       0.8","       1.1"," "," "," "," "," "," ",
"1979","      10.8","      11.0","       1.1","       1.1"," "," "," "," "," "," ",
"1980","      12.0","      11.6","       0.8","       1.1"," "," "," "," "," "," ",
"1981","      12.6","      12.4","       1.4","       1.1"," "," "," "," "," "," ",
"1982","      12.8","      12.8","       1.0","       1.1"," "," "," "," "," "," ",
"1983","      12.6","      13.2","       0.8","       1.1"," "," "," "," "," "," ",
"1984","      13.1","      13.6","       0.7","       1.1"," "," "," "," "," "," ",
"1985","      14.5","      14.0","       0.8","       1.1"," "," "," "," "," "," ",
"1986","      15.2","      14.5","       0.6","       1.1"," "," "," "," "," "," ",
"1987","      15.6","      15.0","       1.3","       1.1"," "," "," "," "," "," ",
"1988","      14.9","      15.4","       1.1","       1.1"," "," "," "," "," "," ",
"1989","      15.9","      15.9","       1.1","       1.1"," "," "," "," "," "," ",
"1990","      16.2","      16.5","       1.2","       1.1"," "," "," "," "," "," ",
"1991","      17.1","      17.0","       1.2","       1.1"," "," "," "," "," "," ",
"1992","      17.2","      17.5","       0.4","       1.1","       1.1","       1.3","       4.9","       3.3","       3.6","       3.9",
"1993","      17.1","      18.1","       0.8","       1.1","       1.4","       1.3","       2.7","       3.3","       3.4","       4.0",
"1994","      18.4","      18.7","       1.0","       1.1","       1.1","       1.4","       3.9","       3.4","       3.8","       4.0",
"1995","      19.3","      19.3","       1.7","       1.1","       1.4","       1.4","       2.4","       3.4","       4.1","       4.1",
"1996","      20.5","      19.9","       1.1","       1.1","       1.2","       1.4","       2.3","       3.4","       4.5","       4.2",
"1997","      21.0","      20.5","       1.1","       1.1","       1.6","       1.4","       4.2","       3.4","       4.5","       4.2",
"1998","      21.4","      21.2","       1.2","       1.1","       1.3","       1.4","       2.5","       3.5","       4.1","       4.3",
"1999","      21.9","      21.9","       1.1","       1.1","       1.1","       1.4","       2.7","       3.5","       5.3","       4.3",
"2000","      22.8","      22.6","       0.8","       1.1","       1.9","       1.4","       3.8","       3.5","       4.2","       4.4",
"2001","      23.9","      23.3","       0.8","       1.1","       1.2","       1.4","       4.2","       3.6","       4.6","       4.4",
"2002","      23.4","      24.1","       1.1","       1.1","       1.7","       1.4","       3.0","       3.6","       4.9","       4.5",
"2003","      23.8","      24.9","       0.8","       1.1","       1.6","       1.4","       3.0","       3.6","       4.1","       4.5",
"2004","      25.2","      25.7","       0.8","       1.1","       1.7","       1.4","       4.6","       3.7","       4.4","       4.6",
"2005","      27.7","      26.5","       1.1","       1.1","       1.4","       1.5","       4.1","       3.7","       4.8","       4.6",
"2006","      27.1","      26.9","       1.0","       1.1","       1.4","       1.5","       3.6","       3.7","       4.3","       4.7",
"2007","      26.7","      27.4","       1.2","       1.1","       1.5","       1.5","       4.6","       3.8","       4.5","       4.8",
"2008","      28.5","      27.9","       1.2","       1.1","       1.5","       1.5","       1.3","       3.8","       5.2","       4.8",
"2009","      28.0","      28.3","       1.1","       1.1","       1.6","       1.5","       3.7","       3.8","       3.9","       4.2",
"2010","      28.8","      28.8","       1.0","       1.1","       1.0","       1.5","       4.6","       3.9","       3.8","       3.6",